SKEL_0; 2; [[1.6965073347091675, -0.3806065022945404, 0.6900722980499268], [NaN, NaN, NaN], [1.4808446168899536, -0.24447719752788544, 0.6982099413871765], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN], [NaN, NaN, NaN]]; [0.8822279572486877, 0.22887985408306122, 0.885692298412323, 0.0023130676709115505, 0.4082556962966919, 0.11849995702505112, 0.020630793645977974, 0.12143773585557938, 0.047734376043081284, 0.3960478603839874, 0.5687512159347534, 0.05368621274828911, 0.029700936749577522, 0.24381664395332336, 0.23483332991600037, 0.046590398997068405, 0.038431838154792786]
SKEL_0; 2; [[1.348728895187378, -0.511833906173706, 0.7649837136268616], [1.4907828569412231, -0.616910994052887, 0.8179274201393127], [1.3298238515853882, -0.44687822461128235, 0.7997179627418518], [NaN, NaN, NaN], [1.3145772218704224, -0.328958660364151, 0.8123562932014465], [1.2415848970413208, -0.43082839250564575, 0.6139057278633118], [1.6320334672927856, -0.367744505405426, 0.6300429701805115], [1.4338953495025635, -0.7046501636505127, 0.34211254119873047], [1.7243708372116089, -0.36761197447776794, 0.33400002121925354], [1.365732192993164, -0.7730545401573181, 0.07397593557834625], [1.6781833171844482, -0.34837570786476135, 0.09350019693374634], [1.3115248680114746, -0.3590817153453827, 0.09780339896678925], [1.632359504699707, -0.38359490036964417, 0.06526157259941101], [1.1424906253814697, -0.2235466092824936, -0.20402303338050842], [1.2378093004226685, -0.1825615018606186, -0.2172791063785553], [1.3235185146331787, -0.36638280749320984, -0.5786272287368774], [1.4409259557724, -0.3795951306819916, -0.5830125212669373]]; [0.9622294902801514, 0.6323617696762085, 0.9785522818565369, 0.06334786862134933, 0.960913896560669, 0.9918516278266907, 0.9962324500083923, 0.9812614917755127, 0.9869935512542725, 0.9835841059684753, 0.9856216311454773, 0.9820467233657837, 0.9865120649337769, 0.9607909321784973, 0.963629424571991, 0.8795239329338074, 0.855503499507904]
SKEL_0; 2; [[1.3958473205566406, -0.6072027087211609, 0.7767117023468018], [1.5040926933288574, -0.6678510308265686, 0.828947126865387], [1.3662203550338745, -0.5299906730651855, 0.8097413182258606], [NaN, NaN, NaN], [1.300592303276062, -0.34058719873428345, 0.8117259740829468], [1.2551844120025635, -0.456285685300827, 0.6114159226417542], [1.6235095262527466, -0.3779982030391693, 0.6289405226707458], [1.4162380695343018, -0.7402273416519165, 0.34185856580734253], [1.7255843877792358, -0.3889704644680023, 0.3412633538246155], [1.306233525276184, -0.7849829792976379, 0.07343724370002747], [1.7030702829360962, -0.370886892080307, 0.09114977717399597], [1.3686729669570923, -0.4991885721683502, 0.07846636325120926], [1.4956134557724, -0.3976026475429535, 0.07289984077215195], [0.9243535995483398, -0.1318521499633789, -0.17637598514556885], [1.2015272378921509, -0.18776381015777588, -0.2157570868730545], [1.2544676065444946, -0.3729407787322998, -0.5741913914680481], [1.4107311964035034, -0.386454313993454, -0.5843305587768555]]; [0.9823359847068787, 0.793615460395813, 0.9934066534042358, 0.06429578363895416, 0.9851770401000977, 0.9972227811813354, 0.9978252649307251, 0.9937623143196106, 0.9900203943252563, 0.9924170970916748, 0.9889954328536987, 0.9907110333442688, 0.992679238319397, 0.9339824318885803, 0.9427974224090576, 0.7592605352401733, 0.7501571178436279]
SKEL_0; 2; [[1.4103940725326538, -0.635963499546051, 0.7886126637458801], [1.5059260129928589, -0.7051156163215637, 0.8361346125602722], [1.379719853401184, -0.5609137415885925, 0.8220058679580688], [NaN, NaN, NaN], [1.3018406629562378, -0.3511967658996582, 0.8128057718276978], [1.3054994344711304, -0.563363254070282, 0.5991438031196594], [1.6050621271133423, -0.39356285333633423, 0.6273534893989563], [1.3657037019729614, -0.7514094114303589, 0.34134289622306824], [1.722910761833191, -0.40393900871276855, 0.34676608443260193], [1.244679570198059, -0.7763914465904236, 0.07481078803539276], [1.719958782196045, -0.3904939591884613, 0.091129370033741], [1.3969628810882568, -0.5851604342460632, 0.06573760509490967], [1.353855848312378, -0.33363476395606995, 0.08933459222316742], [0.7821233868598938, -0.03460720553994179, -0.14030994474887848], [1.1565748453140259, -0.17221081256866455, -0.21114273369312286], [1.1592973470687866, -0.34021231532096863, -0.5591139793395996], [1.3814032077789307, -0.3807111382484436, -0.5836820602416992]]; [0.9899486303329468, 0.8001933097839355, 0.9973706007003784, 0.027417562901973724, 0.9924485683441162, 0.9978761672973633, 0.9985349178314209, 0.9917029738426208, 0.9926711320877075, 0.989425539970398, 0.9920885562896729, 0.9949990510940552, 0.9970861077308655, 0.9666833281517029, 0.9833231568336487, 0.8275662660598755, 0.8735260963439941]
SKEL_0; 2; [[1.408942699432373, -0.6367489099502563, 0.7937668561935425], [1.4701104164123535, -0.7027877569198608, 0.8375324606895447], [1.3793128728866577, -0.5662811994552612, 0.8273752927780151], [NaN, NaN, NaN], [1.3125336170196533, -0.36831942200660706, 0.8170082569122314], [1.3021841049194336, -0.5915498733520508, 0.5992076992988586], [1.5809812545776367, -0.4081060290336609, 0.6263397932052612], [1.3239496946334839, -0.7581413984298706, 0.34119054675102234], [1.7144408226013184, -0.39934733510017395, 0.35079219937324524], [1.1866945028305054, -0.7502673268318176, 0.07688920199871063], [1.7277066707611084, -0.4049927890300751, 0.09317615628242493], [1.381724238395691, -0.5924209952354431, 0.06497372686862946], [1.2872813940048218, -0.29974526166915894, 0.09804471582174301], [0.7708346843719482, -0.05035433918237686, -0.13642345368862152], [1.1351001262664795, -0.1623840034008026, -0.20837707817554474], [1.076485514640808, -0.2928634583950043, -0.5411984324455261], [1.316088318824768, -0.326231449842453, -0.5739306211471558]]; [0.9916406869888306, 0.8575292229652405, 0.9981605410575867, 0.03667910024523735, 0.993906557559967, 0.997941792011261, 0.9986281394958496, 0.9915714263916016, 0.9923829436302185, 0.988741934299469, 0.9916591048240662, 0.9937611222267151, 0.9963690042495728, 0.9432928562164307, 0.9700515270233154, 0.7324044704437256, 0.7939267754554749]
SKEL_0; 2; [[1.38419508934021, -0.6197006702423096, 0.7970299124717712], [1.4140063524246216, -0.7133055329322815, 0.8361886143684387], [1.3618837594985962, -0.5662410259246826, 0.8317089676856995], [NaN, NaN, NaN], [1.3344826698303223, -0.4242558777332306, 0.8201167583465576], [1.302475929260254, -0.640149712562561, 0.5996760129928589], [1.5370043516159058, -0.42934608459472656, 0.6244361400604248], [1.2643593549728394, -0.7731354832649231, 0.34047889709472656], [1.6724506616592407, -0.40669766068458557, 0.35136547684669495], [1.1301298141479492, -0.7247563600540161, 0.07678297907114029], [1.7239277362823486, -0.40980634093284607, 0.09917924553155899], [1.3431780338287354, -0.5954350829124451, 0.06512715667486191], [1.257797360420227, -0.29782426357269287, 0.10073842853307724], [0.7716095447540283, -0.09513821452856064, -0.14403504133224487], [1.1071555614471436, -0.1498851478099823, -0.20452316105365753], [1.0109763145446777, -0.2637403607368469, -0.5274425745010376], [1.2680370807647705, -0.28053018450737, -0.5642244219779968]]; [0.9967173933982849, 0.9447958469390869, 0.999366819858551, 0.04666804149746895, 0.9948031306266785, 0.9988114833831787, 0.9974502921104431, 0.9960820078849792, 0.986853837966919, 0.9887359738349915, 0.9821526408195496, 0.9922497272491455, 0.9911767244338989, 0.6529381275177002, 0.6772664189338684, 0.127317413687706, 0.12391877174377441]
SKEL_0; 2; [[1.3369262218475342, -0.6299766302108765, 0.7954788208007812], [1.3348833322525024, -0.6979244351387024, 0.8376003503799438], [1.3281340599060059, -0.5741955637931824, 0.8322351574897766], [NaN, NaN, NaN], [1.3449031114578247, -0.4733021557331085, 0.8205788731575012], [1.2559250593185425, -0.6479119062423706, 0.6029422283172607], [1.449979305267334, -0.45785385370254517, 0.6226539611816406], [1.1943048238754272, -0.7678455710411072, 0.34332749247550964], [1.5986546277999878, -0.425563782453537, 0.35024315118789673], [1.0779330730438232, -0.7105746865272522, 0.07390301674604416], [1.709693193435669, -0.4092685878276825, 0.10867687314748764], [1.3100972175598145, -0.6146045923233032, 0.061889294534921646], [1.2810240983963013, -0.31583940982818604, 0.09719894081354141], [0.7571204900741577, -0.11180868744850159, -0.14723554253578186], [1.1050739288330078, -0.14632168412208557, -0.2019936740398407], [0.9974486827850342, -0.2598194479942322, -0.5221381187438965], [1.2185053825378418, -0.23182694613933563, -0.5510660409927368]]; [0.9972397089004517, 0.9781414866447449, 0.9994258880615234, 0.14018964767456055, 0.9930731654167175, 0.9988401532173157, 0.9972174167633057, 0.9953253269195557, 0.9852166175842285, 0.9844363927841187, 0.9807822704315186, 0.9929088354110718, 0.9916342496871948, 0.5148419737815857, 0.518517017364502, 0.08011862635612488, 0.07746244221925735]
SKEL_0; 2; [[1.3014461994171143, -0.6344293355941772, 0.7949958443641663], [1.288400650024414, -0.6803741455078125, 0.840446949005127], [1.3036497831344604, -0.5819433331489563, 0.8318568468093872], [NaN, NaN, NaN], [1.3464322090148926, -0.5020652413368225, 0.8213244080543518], [1.2149237394332886, -0.6549953818321228, 0.6042888164520264], [1.3860763311386108, -0.46014687418937683, 0.6234323382377625], [1.1444019079208374, -0.7566264867782593, 0.34621453285217285], [1.573900580406189, -0.4330260157585144, 0.35305559635162354], [1.0561509132385254, -0.7094157934188843, 0.06942736357450485], [1.6911965608596802, -0.41537198424339294, 0.1167834997177124], [1.2865808010101318, -0.6235122084617615, 0.062111228704452515], [1.3518563508987427, -0.4330919086933136, 0.08443741500377655], [0.7571204900741577, -0.11180868744850159, -0.14723554253578186], [1.171696424484253, -0.2731298506259918, -0.1983407735824585], [0.9974486827850342, -0.2598194479942322, -0.5221381187438965], [1.2185053825378418, -0.23182694613933563, -0.5510660409927368]]; [0.9976342916488647, 0.9831863641738892, 0.9995729327201843, 0.1597597450017929, 0.9938439130783081, 0.9988787770271301, 0.9970046877861023, 0.9954262375831604, 0.9698767066001892, 0.9825343489646912, 0.9474744200706482, 0.9936641454696655, 0.9923917651176453, 0.49491479992866516, 0.5277213454246521, 0.08347983658313751, 0.11797410249710083]
SKEL_0; 2; [[1.2333042621612549, -0.6240875720977783, 0.7970547080039978], [1.212540626525879, -0.6507681608200073, 0.8408876657485962], [1.2579532861709595, -0.5972045660018921, 0.8297849297523499], [NaN, NaN, NaN], [1.3140853643417358, -0.5221554040908813, 0.8216783404350281], [1.1577396392822266, -0.6745392680168152, 0.605114221572876], [1.296210765838623, -0.43612122535705566, 0.6238402724266052], [1.0626338720321655, -0.73433518409729, 0.34991535544395447], [1.4567149877548218, -0.40554770827293396, 0.3597249686717987], [1.0282633304595947, -0.7105239629745483, 0.06204833835363388], [1.5411323308944702, -0.39060577750205994, 0.1510145217180252], [1.2472209930419922, -0.6461791396141052, 0.0608954131603241], [1.410537838935852, -0.5642195343971252, 0.06641324609518051], [0.8197311162948608, -0.2644751965999603, -0.1716487854719162], [1.113478422164917, -0.23795145750045776, -0.18616759777069092], [0.921592652797699, -0.2748538851737976, -0.5171703100204468], [1.170735478401184, -0.20957423746585846, -0.538031280040741]]; [0.9972108006477356, 0.991176962852478, 0.9992138147354126, 0.38418665528297424, 0.9831409454345703, 0.9981759786605835, 0.9952132701873779, 0.9918306469917297, 0.8424566388130188, 0.9760667085647583, 0.7319148778915405, 0.9919954538345337, 0.9905378818511963, 0.682189404964447, 0.6688013672828674, 0.0861939862370491, 0.07206861674785614]
SKEL_0; 2; [[1.172265648841858, -0.6055507063865662, 0.7984986901283264], [1.15254545211792, -0.6315004825592041, 0.8369930386543274], [1.215299129486084, -0.6037245392799377, 0.8298336267471313], [0.9936506152153015, -0.618156909942627, 0.7252954244613647], [1.2670303583145142, -0.5369189977645874, 0.8215368390083313], [1.111203908920288, -0.6914339661598206, 0.6040384769439697], [1.2502459287643433, -0.4401932656764984, 0.624107301235199], [0.9969052076339722, -0.7245380282402039, 0.3508557081222534], [1.3653093576431274, -0.3944997489452362, 0.4025607705116272], [0.9978992342948914, -0.7118629813194275, 0.061062976717948914], [1.5411323308944702, -0.39060577750205994, 0.1510145217180252], [1.208927035331726, -0.6609659790992737, 0.06119803711771965], [1.4198518991470337, -0.5907787680625916, 0.06697942316532135], [0.912929892539978, -0.4602337181568146, -0.20293013751506805], [1.008161187171936, -0.18397262692451477, -0.15737490355968475], [0.921592652797699, -0.2748538851737976, -0.5171703100204468], [1.170735478401184, -0.20957423746585846, -0.538031280040741]]; [0.9958146214485168, 0.9946238994598389, 0.9990267753601074, 0.6450016498565674, 0.9707040786743164, 0.9985347986221313, 0.9898938536643982, 0.9950352907180786, 0.6474021673202515, 0.980628252029419, 0.4942323565483093, 0.9913874268531799, 0.9823203086853027, 0.5383567810058594, 0.47503408789634705, 0.02226748876273632, 0.01680760271847248]
